0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:32:30 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:32:30 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:34:15 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:34:15 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:34:21 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:34:21 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:34:40 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:34:40 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:34:46 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:34:46 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:35:35 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:35:35 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:35:40 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:35:40 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:40:27 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:40:27 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:40:55 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:40:56 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:40:56 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:41:07 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:41:07 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:41:12 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:41:12 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:41:24 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:41:24 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:41:38 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:41:38 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:41:47 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:41:47 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:41:57 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:41:57 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:42:06 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:42:06 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:42:18 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:42:18 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:42:36 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:42:36 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:42:37 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:42:42 +0900] "GET /webProject/doit/06/quiz-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:42:42 +0900] "GET /webProject/doit/06/css/mystyle.css HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:43:36 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:44:23 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:44:30 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:44:47 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:46:20 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:46:34 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:46:51 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:46:57 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:49:15 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:49:34 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:50:12 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:50:37 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:50:37 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:50:44 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:50:51 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [31/Mar/2021:11:03:29 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [31/Mar/2021:11:06:15 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [31/Mar/2021:11:06:56 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [31/Mar/2021:11:07:25 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [31/Mar/2021:11:07:33 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [31/Mar/2021:11:07:35 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:11:08:27 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [31/Mar/2021:11:08:36 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [31/Mar/2021:11:08:45 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [31/Mar/2021:11:09:17 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [31/Mar/2021:11:09:52 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [31/Mar/2021:11:11:24 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [31/Mar/2021:11:11:49 +0900] "GET /webProject/doit/06/quiz-2.html HTTP/1.1" 200 1212
